status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
100001,11/4/2023 17:11,0.825094,227.1643,187.4319,139.7585,-124.893,-0.7456498,13.01443,0.7350481
100001,11/4/2023 17:11,0.8175033,227.0851,185.6428,137.0655,-125.205,-0.7383292,14.111,1.489207
100001,11/4/2023 17:11,0.8267547,227.0862,187.7446,138.7008,-126.5311,-0.7387737,12.90713,1.667666
100001,11/4/2023 17:11,0.8156711,227.0994,185.2384,138.7672,-122.7067,-0.7491276,12.38692,1.217496
100001,11/4/2023 17:11,0.8253963,227.0383,187.3966,138.7553,-125.9541,-0.7404366,13.17193,0.8968454
100001,11/4/2023 17:11,0.8315667,227.252,188.9752,140.7965,-126.0475,-0.7450527,10.49647,0.9517334
100001,11/4/2023 17:11,0.8185703,227.1635,185.9493,138.8851,-123.6449,-0.7468978,12.10983,1.552204
100001,11/4/2023 17:11,0.8275084,227.1235,187.9466,139.3661,-126.0993,-0.7415195,12.97643,0.6960164
100001,11/4/2023 17:11,0.8232787,226.9716,186.8609,138.3055,-125.6526,-0.7401522,11.41258,0.7511758
100001,11/4/2023 17:11,0.8228242,227.0607,186.8311,138.4051,-125.4985,-0.7408037,12.39553,0.3362494
100001,11/4/2023 17:11,0.8260002,227.0225,187.5206,139.4461,-125.3745,-0.7436305,10.16938,0.4831344
100001,11/4/2023 17:11,0.8214592,226.987,186.4606,138.1624,-125.2146,-0.7409738,13.05596,1.231338
100001,11/4/2023 17:11,0.8238842,227.0463,187.0599,138.5359,-125.6949,-0.7405965,12.38416,0.7482562
100001,11/4/2023 17:11,0.8194837,227.1362,186.1344,137.8796,-125.0409,-0.7407531,11.94637,0.3989065
100001,11/4/2023 17:11,0.8202441,227.0113,186.2046,137.827,-125.2034,-0.7401909,11.8917,0.4789931
100001,11/4/2023 17:11,0.8335136,227.0212,189.2253,140.0286,-127.2721,-0.7400099,12.94137,0.9584671
100001,11/4/2023 17:11,0.8256983,227.0917,187.5092,139.5762,-125.2126,-0.7443696,11.87636,1.087383
100001,11/4/2023 17:11,0.8225211,227.0538,186.7565,137.6786,-126.1847,-0.7372093,13.10458,0.4497859
100001,11/4/2023 17:11,0.8217627,227.0421,186.5747,138.0836,-125.4713,-0.7400982,13.15993,0.6839289
100001,11/4/2023 17:11,0.8173508,227.1633,185.6721,137.7174,-124.5313,-0.7417238,13.83135,0.3848147
100001,11/4/2023 17:11,0.8185703,227.064,185.8679,136.8441,-125.7798,-0.736244,13.15305,0.632908
100001,11/4/2023 17:11,0.8193315,227.094,186.0653,136.7279,-126.1974,-0.7348383,13.65069,0.9487091
