status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
110000,11/8/2023 14:38,4.684955,231.1409,1082.885,563.3526,-924.8097,-0.5202333,83.98239,2.585292
110000,11/8/2023 14:38,4.712446,230.9303,1088.247,564.3008,-930.5082,-0.5185413,84.05468,2.610002
110000,11/8/2023 14:38,4.645211,230.8432,1072.316,557.3774,-916.0737,-0.5197886,83.63596,2.443049
110000,11/8/2023 14:38,4.745299,230.9116,1095.745,571.6007,-934.8415,-0.5216551,85.03506,2.17714
110000,11/8/2023 14:38,4.563757,230.984,1054.155,527.715,-912.5566,-0.5006047,84.98966,1.550316
110000,11/8/2023 14:38,4.634247,231.2337,1071.594,539.3446,-925.9708,-0.5033104,83.8926,2.279039
110000,11/8/2023 14:38,4.736778,231.2158,1095.218,569.1726,-935.7056,0.5173753,84.35658,2.348545
110000,11/8/2023 14:38,4.741988,231.2376,1096.526,553.7211,-946.4471,-0.5049776,84.82514,2.389687
110000,11/8/2023 14:38,4.869046,230.8529,1124.033,583.8062,-960.5317,-0.5193851,83.93877,2.371509
110000,11/8/2023 14:38,4.82162,231.1847,1114.685,563.7188,-961.6359,-0.5057203,84.67158,1.866175
110000,11/8/2023 14:38,4.918753,231.0492,1136.474,570.4723,-982.921,-0.501967,84.94492,2.561896
110000,11/8/2023 14:38,5.034032,231.2501,1164.121,597.549,-999.0555,-0.513305,84.22845,2.227493
110000,11/8/2023 14:38,5.180007,231.0775,1196.983,612.5171,-1028.392,-0.5117176,84.29588,1.237205
110000,11/8/2023 14:38,5.2124,231.0936,1204.552,632.0883,-1025.383,-0.5247495,83.51229,2.59999
110000,11/8/2023 14:38,5.29758,231.3726,1225.715,620.7932,-1056.879,-0.5064743,84.5671,1.672134
110000,11/8/2023 14:38,5.47114,230.9518,1263.57,637.4954,-1090.967,-0.5045193,84.65637,2.03497
110000,11/8/2023 14:38,5.371138,231.2139,1241.882,632.6429,-1068.66,-0.5094228,84.37558,2.24748
110000,11/8/2023 14:38,5.547253,231.2144,1282.604,652.2161,-1104.395,-0.5085092,84.41617,2.035508
110000,11/8/2023 14:38,5.57501,231.0167,1287.921,669.7904,-1100.055,-0.5200557,83.7115,2.070925
110000,11/8/2023 14:38,5.696777,230.8767,1315.253,681.412,-1124.975,-0.5180842,83.81554,2.476366
110000,11/8/2023 14:38,5.659359,231.215,1308.528,683.0244,-1116.12,-0.521979,83.99619,2.322981
110000,11/8/2023 14:38,5.643341,231.1871,1304.668,672.0363,-1118.269,-0.5151015,84.40017,1.788824
110000,11/8/2023 14:38,5.82178,231.1727,1345.836,691.0243,-1154.886,-0.5134534,83.84718,2.331442
110000,11/8/2023 14:38,5.875928,231.2947,1359.071,700.2698,-1164.773,-0.5152563,83.92316,2.188129
110000,11/8/2023 14:38,5.901294,231.2974,1364.954,701.5181,-1170.885,-0.51395,83.06109,1.932462
110000,11/8/2023 14:38,5.832052,231.0457,1347.471,713.7358,-1142.917,-0.5296856,84.00603,2.298939
110000,11/8/2023 14:38,5.898547,230.9066,1362.014,701.7695,-1167.305,-0.5152441,83.90667,2.05266
110000,11/8/2023 14:38,6.132333,230.8846,1415.861,748.3298,-1201.942,-0.5285333,83.03529,2.394353
110000,11/8/2023 14:38,6.090221,231.1605,1407.819,726.1748,-1206.078,-0.5158156,83.83427,2.053231
110000,11/8/2023 14:38,6.084527,230.938,1405.148,733.1042,-1198.749,-0.5217273,83.47851,1.725105
110000,11/8/2023 14:38,6.008249,230.9228,1387.442,723.2408,-1184.026,-0.5212765,83.65251,1.995348
110000,11/8/2023 14:38,6.067146,231.0915,1402.066,731.1507,-1196.331,-0.521481,83.48785,1.963598
110000,11/8/2023 14:39,6.028242,231.3176,1394.438,722.797,-1192.486,-0.5183427,83.65504,2.015539
110000,11/8/2023 14:39,6.180333,231.0672,1428.072,750.2613,-1215.112,-0.5253665,83.81693,1.933699
110000,11/8/2023 14:39,6.054823,231.2565,1400.217,722.5701,-1199.375,-0.5160415,83.72738,2.084323
110000,11/8/2023 14:39,6.039731,230.8998,1394.573,723.2911,-1192.344,-0.5186471,83.73367,2.010788
110000,11/8/2023 14:39,6.135564,230.8984,1416.692,734.1274,-1211.641,-0.5181984,83.75395,2.129302
110000,11/8/2023 14:39,6.03463,230.9811,1393.886,721.1031,-1192.865,-0.517333,83.73536,2.004547
110000,11/8/2023 14:39,6.012772,231.173,1389.991,718.7968,-1189.708,-0.5171235,83.23219,2.28275
110000,11/8/2023 14:39,6.14182,231.0759,1419.227,745.3822,-1207.729,-0.525203,83.83306,2.175543
110000,11/8/2023 14:39,6.046457,231.2014,1397.95,722.3848,-1196.839,-0.516746,83.78642,2.352587
110000,11/8/2023 14:39,6.084138,230.9872,1405.358,726.5471,-1202.979,-0.5169837,83.84255,2.015784
110000,11/8/2023 14:39,6.100859,231.0109,1409.365,738.2328,-1200.551,-0.5238053,83.30119,2.25954
110000,11/8/2023 14:39,6.133634,230.9862,1416.785,746.9242,-1203.904,-0.5271966,83.14228,2.358475
110000,11/8/2023 14:39,6.164839,231.1617,1425.075,746.3427,-1214.006,-0.5237218,84.15505,2.109375
110000,11/8/2023 14:39,6.175932,231.1639,1427.653,728.6125,-1227.728,-0.510357,83.77373,2.104383
110000,11/8/2023 14:39,6.165446,230.9815,1424.104,736.0579,-1219.135,-0.5168568,83.67327,1.988387
110000,11/8/2023 14:39,6.06036,230.9692,1399.757,727.6495,-1195.761,-0.5198399,82.75494,2.391499
110000,11/8/2023 14:39,6.082458,230.9842,1404.952,749.0266,-1188.633,-0.5331333,83.7912,1.847798
110000,11/8/2023 14:39,6.017,231.1733,1390.97,719.7499,-1190.276,-0.5174447,83.54469,2.054727
110000,11/8/2023 14:39,6.155488,231.0717,1422.359,738.7344,-1215.474,-0.5193726,83.90896,1.956979
110000,11/8/2023 14:39,6.085798,230.941,1405.46,725.0133,-1204.024,-0.5158547,83.53012,2.069055
110000,11/8/2023 14:39,6.09016,231.2286,1408.219,732.1105,-1202.953,-0.5198839,83.6485,1.944389
110000,11/8/2023 14:39,6.097363,231.1513,1409.414,732.3005,-1204.235,-0.5195782,83.53912,2.159067
110000,11/8/2023 14:39,6.070372,231.0243,1402.403,720.2494,-1203.318,-0.5135823,82.48483,2.205246
110000,11/8/2023 14:39,5.917309,231.0466,1367.174,721.2038,-1161.477,-0.5275143,83.06788,2.366246
110000,11/8/2023 14:39,6.006796,231.0871,1388.093,734.5833,-1177.79,-0.5292031,83.27258,1.868809
110000,11/8/2023 14:39,6.006091,231.2748,1389.058,729.9003,-1181.832,-0.5254644,84.13846,2.096813
110000,11/8/2023 14:39,5.95365,231.2321,1376.675,704.2206,-1182.923,-0.5115373,83.90651,1.883054
110000,11/8/2023 14:39,6.096954,231.0428,1408.657,725.6372,-1207.38,-0.5151269,83.14595,2.204908
110000,11/8/2023 14:39,6.125904,231.1049,1415.727,746.936,-1202.651,-0.527599,82.98431,2.259349
110000,11/8/2023 14:39,6.196491,231.1399,1432.256,757.5366,-1215.523,-0.5289114,83.79443,1.875153
110000,11/8/2023 14:39,6.237405,231.1285,1441.642,743.9726,-1234.843,-0.5160591,83.80696,1.970587
110000,11/8/2023 14:39,6.014596,231.0213,1389.5,719.3616,-1188.792,-0.5177128,82.83311,2.383288
110000,11/8/2023 14:39,6.069776,231.0819,1402.615,721.4894,-1202.823,-0.5143886,83.39761,2.005729
110000,11/8/2023 14:39,6.165709,231.009,1424.334,745.3975,-1213.718,-0.5233304,82.9101,2.254655
110000,11/8/2023 14:39,6.061451,231.0503,1400.5,745.5563,-1185.557,-0.53235,83.46386,2.037356
110000,11/8/2023 14:39,5.97368,231.2468,1381.394,721.232,-1178.166,-0.5221044,83.74286,1.86199
110000,11/8/2023 14:39,6.004928,231.2862,1388.857,718.1505,-1188.774,-0.5170802,83.87801,2.043534
110000,11/8/2023 14:39,6.042146,231.1903,1396.885,719.738,-1197.191,-0.5152448,83.75554,1.981093
110000,11/8/2023 14:39,6.185233,231.0522,1429.112,738.792,-1223.334,-0.516959,82.78963,2.130759
110000,11/8/2023 14:39,6.012772,231.1431,1389.811,741.9003,-1175.227,-0.5338138,83.31271,2.061357
110000,11/8/2023 14:39,6.088543,231.3023,1408.294,734.7571,-1201.426,-0.5217356,83.76682,2.130697
110000,11/8/2023 14:39,6.049364,231.3467,1399.5,721.904,-1198.939,-0.5158299,83.61468,1.82795
110000,11/8/2023 14:39,6.143506,231.0567,1419.498,737.7804,-1212.706,0.5268568,83.8271,1.937204
110000,11/8/2023 14:39,6.086003,231.3441,1407.961,723.6239,-1207.776,-0.5139517,83.75571,2.148697
110000,11/8/2023 14:39,6.036922,231.1568,1395.476,722.5184,-1193.868,-0.5177577,83.70177,1.918617
110000,11/8/2023 14:39,6.042909,231.0191,1396.028,723.7827,-1193.747,-0.5184587,83.21786,2.467121
110000,11/8/2023 14:39,6.103106,231.1555,1410.767,746.5135,-1197.072,-0.5291544,82.98326,2.687635
110000,11/8/2023 14:39,5.980335,231.2584,1383.003,732.2694,-1173.234,-0.5294779,83.42036,1.885196
