,status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
37014,110110000,2023-12-05 09:00:43.040,4.268639,231.616,988.685,497.9781,854.1169,0.5036772,70.01307,1.083118
37015,110110000,2023-12-05 09:00:43.545,4.268639,231.616,988.685,497.9781,854.1169,0.5036772,70.01307,1.083118
37016,110110000,2023-12-05 09:00:44.121,1.440429,231.9095,334.0492,233.7222,-238.6688,-0.6996641,71.41109,1.82497
37017,110110000,2023-12-05 09:00:44.652,1.478018,232.1029,343.0522,234.9929,-249.9263,-0.6850063,71.41109,1.82497
37018,110110000,2023-12-05 09:00:45.243,1.478018,232.1029,343.0522,234.9929,-249.9263,-0.6850063,70.40424,0.9084573
37019,110110000,2023-12-05 09:00:45.898,1.460056,231.955,338.6672,235.5534,-243.3312,-0.6955307,70.31498,1.470551
37020,110110000,2023-12-05 09:00:46.402,1.460056,231.955,338.6672,235.5534,-243.3312,-0.6955307,70.31498,1.470551
37021,110110000,2023-12-05 09:00:46.959,1.442718,231.9828,334.6857,233.1496,-240.1161,-0.6966227,70.81908,1.697797
37022,110110000,2023-12-05 09:00:47.483,1.442849,231.8495,334.5239,232.546,-240.4758,-0.6951551,70.81908,1.697797
37023,110110000,2023-12-05 09:00:48.274,1.442849,231.8495,334.5239,232.546,-240.4758,-0.6951551,71.13322,1.262174
37024,110110000,2023-12-05 09:00:48.605,1.486787,232.0195,344.9636,237.3008,-250.3761,-0.6879009,70.62426,1.5312
37025,110110000,2023-12-05 09:00:49.300,1.486787,232.0195,344.9636,237.3008,-250.3761,-0.6879009,70.62426,1.5312
37026,110110000,2023-12-05 09:00:50.202,1.455483,232.0893,337.8021,234.0837,-243.5469,-0.692961,70.05246,1.681938
37027,110110000,2023-12-05 09:00:50.748,1.436299,232.0384,333.2766,232.9405,-238.3528,-0.6989404,70.40259,1.38274
37028,110110000,2023-12-05 09:00:51.197,1.436299,232.0384,333.2766,232.9405,-238.3528,0.6918315,70.40259,1.38274
37029,110110000,2023-12-05 09:00:52.099,1.469621,232.0496,341.025,236.9698,-245.2415,-0.6948751,69.88915,1.735174
37030,110110000,2023-12-05 09:00:53.089,1.438462,231.9756,333.6881,233.978,-237.9119,-0.7011876,70.92992,1.492332
