,status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
1027,100101000,2023-12-05 00:10:29.573,6.052962,231.6404,1402.111,1215.078,699.6431,0.8666061,17.01362,1.500173
1028,100101000,2023-12-05 00:10:30.264,6.038602,231.6503,1398.844,1215.95,691.5416,0.8692535,15.63002,1.349501
1029,100101000,2023-12-05 00:10:30.749,5.90356,231.5429,1366.927,1205.005,645.3326,0.8815425,16.79982,1.34716
1030,100101000,2023-12-05 00:10:31.534,5.90356,231.5429,1366.927,1205.005,645.3326,0.8815425,17.6718,1.617619
1031,100101000,2023-12-05 00:10:31.893,6.052703,231.7112,1402.479,1219.538,692.586,0.8695586,17.6718,1.617619
1032,100101000,2023-12-05 00:10:32.422,6.052703,231.7112,1402.479,1219.538,692.586,0.8695586,16.57309,1.568416
1033,100101000,2023-12-05 00:10:32.837,6.036662,231.8022,1399.312,1212.088,699.2257,0.8662028,16.57309,1.568416
1034,100101000,2023-12-05 00:10:33.546,6.036662,231.8022,1399.312,1212.088,699.2257,0.8662028,16.08433,1.565353
1035,100101000,2023-12-05 00:10:33.972,5.946821,231.6654,1377.673,1211.748,655.4766,0.8795614,16.7039,1.468053
1036,100101000,2023-12-05 00:10:34.557,5.946821,231.6654,1377.673,1211.748,655.4766,0.8795614,16.7039,1.468053
1037,100101000,2023-12-05 00:10:35.092,5.914629,231.8098,1371.069,1201.417,660.6251,0.8762635,18.63408,1.492952
1038,100101000,2023-12-05 00:10:35.476,5.914629,231.8098,1371.069,1201.417,660.6251,0.8762635,18.63408,1.492952
1039,100101000,2023-12-05 00:10:35.901,6.068893,231.5734,1405.394,1216.974,702.9281,0.8659305,18.55488,1.588337
1040,100101000,2023-12-05 00:10:36.402,6.068893,231.5734,1405.394,1216.974,702.9281,0.8659305,18.55488,1.588337
1041,100101000,2023-12-05 00:10:36.734,6.037426,231.6944,1398.838,1214.915,693.345,0.8685178,16.95282,1.552663
1042,100101000,2023-12-05 00:10:37.422,6.037426,231.6944,1398.838,1214.915,693.345,0.8685178,16.24408,1.702223
1043,100101000,2023-12-05 00:10:37.921,6.08584,231.6713,1409.915,1221.322,704.4378,0.8662381,16.24408,1.702223
1044,100101000,2023-12-05 00:10:38.793,5.900898,231.7855,1367.742,1198.747,658.578,0.876442,18.18341,1.328634
1045,100101000,2023-12-05 00:10:39.342,6.052083,231.671,1402.092,1217.875,694.725,0.8686127,18.87396,1.159849
1046,100101000,2023-12-05 00:10:39.840,6.080616,231.6387,1408.506,1223.441,697.9117,0.8686091,18.87396,1.159849
1047,100101000,2023-12-05 00:10:40.679,6.080616,231.6387,1408.506,1223.441,697.9117,0.8686091,18.22829,1.694373
1048,100101000,2023-12-05 00:10:41.260,6.024666,231.6978,1395.902,1210.206,695.6604,0.8669707,16.86839,1.388259
1049,100101000,2023-12-05 00:10:41.839,5.954738,231.6482,1379.404,1204.826,671.6764,0.8734397,16.34451,1.663609
1050,100101000,2023-12-05 00:10:42.752,5.954738,231.6482,1379.404,1204.826,671.6764,0.8734397,17.69078,1.679429
1051,100101000,2023-12-05 00:10:43.528,5.910527,231.6339,1369.078,1201.773,655.8334,0.8777969,17.52387,1.395754
1052,100101000,2023-12-05 00:10:43.960,6.066118,231.6661,1405.314,1222.767,692.6375,0.8701028,17.52387,1.395754
1053,100101000,2023-12-05 00:10:44.670,6.066118,231.6661,1405.314,1222.767,692.6375,0.8701028,16.59844,1.570488
1054,100101000,2023-12-05 00:10:45.095,5.983212,231.7224,1386.444,1209.95,676.9415,0.8726997,15.90884,1.501437
1055,100101000,2023-12-05 00:10:45.590,5.983212,231.7224,1386.444,1209.95,676.9415,0.8726997,15.90884,1.501437
1056,100101000,2023-12-05 00:10:46.058,5.949028,231.7518,1378.698,1211.199,658.6394,0.8785091,17.24654,1.343689
1057,100101000,2023-12-05 00:10:46.555,5.949028,231.7518,1378.698,1211.199,658.6394,0.8785091,17.24654,1.343689
1058,100101000,2023-12-05 00:10:47.317,5.997645,231.682,1389.547,1213.499,676.9487,0.8733058,18.3532,1.507575
1059,100101000,2023-12-05 00:10:47.807,6.040887,231.6434,1399.332,1216.131,692.2106,0.8690796,17.56017,1.483696
1060,100101000,2023-12-05 00:10:48.473,6.040887,231.6434,1399.332,1216.131,692.2106,0.8690796,17.56017,1.483696
1061,100101000,2023-12-05 00:10:49.339,6.043331,231.6045,1399.663,1210.208,703.1726,0.8646427,17.37144,1.522484
1062,100101000,2023-12-05 00:10:49.891,6.018235,231.5997,1393.822,1210.51,690.9438,0.8684829,17.37144,1.522484
1063,100101000,2023-12-05 00:10:50.431,5.999852,231.646,1389.841,1211.835,680.5253,0.8719234,18.4858,1.36955
1064,100101000,2023-12-05 00:10:50.855,6.045983,231.6258,1400.406,1213.093,699.6731,0.8662437,18.4858,1.36955
1065,100101000,2023-12-05 00:10:51.782,6.045983,231.6258,1400.406,1213.093,699.6731,0.8662437,18.27274,1.470244
1066,100101000,2023-12-05 00:10:52.660,6.094137,231.5676,1411.204,1223.665,702.9529,0.8671066,16.20606,1.48579
1067,100101000,2023-12-05 00:10:53.460,5.988373,231.5308,1386.493,1207.989,680.5334,0.8712549,16.44971,1.415279
1068,100101000,2023-12-05 00:10:53.900,5.931272,231.6076,1373.728,1205.211,659.2367,0.8773292,16.82499,1.508357
1069,100101000,2023-12-05 00:10:54.576,5.931272,231.6076,1373.728,1205.211,659.2367,0.8773292,16.82499,1.508357
1070,100101000,2023-12-05 00:10:55.238,6.025892,231.5233,1395.135,1221.392,674.2419,0.8754654,17.02443,1.517327
1071,100101000,2023-12-05 00:10:55.731,6.076569,231.5063,1406.764,1222.019,696.889,0.8686737,17.02443,1.517327
1072,100101000,2023-12-05 00:10:56.198,6.070166,231.5147,1405.333,1222.939,692.3722,0.8702134,16.70691,1.610731
1073,100101000,2023-12-05 00:10:56.696,6.070166,231.5147,1405.333,1222.939,692.3722,0.8702134,16.70691,1.610731
1074,100101000,2023-12-05 00:10:57.163,5.942361,231.5446,1375.922,1206.6,661.2688,0.8769397,16.34276,1.506999
1075,100101000,2023-12-05 00:10:57.661,5.942361,231.5446,1375.922,1206.6,661.2688,0.8769397,16.34276,1.506999
1076,100101000,2023-12-05 00:10:58.535,5.955452,231.5847,1379.191,1209.607,662.5861,0.8770406,17.83719,1.363761
1077,100101000,2023-12-05 00:10:59.091,6.066561,231.5324,1404.605,1224.511,688.1046,0.8717832,19.15969,1.411902
1078,100101000,2023-12-05 00:10:59.583,6.066561,231.5324,1404.605,1224.511,688.1046,0.8713947,19.15969,1.411902
1079,100101000,2023-12-05 00:11:00.423,6.052899,231.4353,1400.855,1217.784,692.3852,0.8693147,17.50812,1.464546
1080,100101000,2023-12-05 00:11:01.004,6.048497,231.5346,1400.436,1214.411,697.4435,0.8671663,16.47068,1.504889
